id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,undergraduate,undergrad location,undergraduate type,undergraduate major 1,undergraduate major 2,master,master major,phd,graduate,graduate location,graduate type,phd thesis topic 1,phd thesis topic 2,note
882,Alvin E.,Roth,1951-12-18,0000-00-00,USA,US,New York NY,,,,male,2012,economics,,2,"""for the theory of stable allocations and the practice of market design""",Alvin E. Roth,Cambridge MA,USA,Columbia University,USA,private,engineering,0,1,engineering,1,Stanford University,USA,private,engineering,0,
883,Lloyd S.,Shapley,1923-06-02,2016-03-12,USA,US,Cambridge MA,USA,US,Tucson AZ,male,2012,economics,,2,"""for the theory of stable allocations and the practice of market design""",Lloyd S. Shapley,Los Angeles CA,USA,Harvard University,USA,private,mathematics,0,0,0,1,Princeton University,USA,private,mathematics,0,
894,Eugene F.,Fama,1939-02-14,0000-00-00,USA,US,Boston MA,,,,male,2013,economics,,3,"""for their empirical analysis of asset prices""",Eugene F. Fama,Chicago IL,USA,Tufts University,USA,private,languages,0,1,MBA,1,University of Chicago,USA,private,economics,finance,
895,Lars Peter,Hansen,1952-10-26,0000-00-00,USA,US,Urbana IL,,,,male,2013,economics,,3,"""for their empirical analysis of asset prices""",Lars Peter Hansen,Chicago IL,USA,Utah State University,USA,public,mathematics,political science,0,0,1,University of Minnesota,USA,public,economics,0,
896,Robert J.,Shiller,1946-03-29,0000-00-00,USA,US,Detroit MI,,,,male,2013,economics,,3,"""for their empirical analysis of asset prices""",Robert J. Shiller,New Haven CT,USA,University of Michigan,USA,public,economics,0,0,0,1,Massachusetts Institute of Technology,USA,private,economics,0,
915,Jean,Tirole,1953-08-09,0000-00-00,France,FR,Troyes,,,,male,2014,economics,,1,"""for his analysis of market power and regulation""",Jean Tirole,Toulouse,France,École Polytechnique,France,public,engineering,0,1,mathematics,1,Massachusetts Institute of Technology,USA,private,economics,0,
926,Angus,Deaton,1945-10-19,0000-00-00,Scotland,GB,Edinburgh,,,,male,2015,economics,,1,"""for his analysis of consumption poverty and welfare""",Angus Deaton,Princeton NJ,USA,University of Cambridge,United Kingdom,private,economics,0,1,economics,1,University of Cambridge,United Kingdom,private,economics,0,
935,Oliver,Hart,1948-10-09,0000-00-00,United Kingdom,GB,London,,,,male,2016,economics,,2,"""for their contributions to contract theory""",Oliver Hart,Cambridge MA,USA,University of Cambridge,United Kingdom,private,mathematics,0,1,economics,1,Princeton University,USA,private,economics,0,
936,Bengt,Holmstr√∂m,1949-04-18,0000-00-00,Finland,FI,Helsinki,,,,male,2016,economics,,2,"""for their contributions to contract theory""",Bengt Holmstrom,Cambridge MA,USA,University of Helsinki,Finland,public,mathematics,0,1,engineering,1,Stanford University,USA,private,economics,0,
949,Richard H.,Thaler,1945-09-12,0000-00-00,USA,US,East Orange NJ,,,,male,2017,economics,,1,"""for his contributions to behavioural economics""",Richard H. Thaler,Chicago IL,USA,Case Western Reserve University,USA,private,economics,0,1,economics,1,University of Rochester,USA,private,economics,0,
